"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","724","Login page is displayed correctly","Surefire suite","Sun Mar 01 12:47:52 ICT 2026","passed","Sun Mar 01 12:47:52 ICT 2026","com.automation.ui.LoginTest","Surefire test","com.automation.ui.LoginTest","testLoginPageDisplayed"
"","3589","Valid login with correct credentials","Surefire suite","Sun Mar 01 12:47:55 ICT 2026","passed","Sun Mar 01 12:47:59 ICT 2026","com.automation.ui.LoginTest","Surefire test","com.automation.ui.LoginTest","testValidLogin"
