"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31116","Create a POD product with random product base","Surefire suite","Sun Mar 01 13:07:17 ICT 2026","broken","Sun Mar 01 13:07:48 ICT 2026","com.automation.ui.product.CreateProductTest","Surefire test","com.automation.ui.product.CreateProductTest","testCreatePODProduct"
"","80244","Create a POD product with random product base","Surefire suite","Sun Mar 01 13:07:17 ICT 2026","passed","Sun Mar 01 13:08:38 ICT 2026","com.automation.ui.product.CreateProductTest","Surefire test","com.automation.ui.product.CreateProductTest","testCreatePODProduct"
"","1","loginAndNavigate","Surefire suite","Sun Mar 01 13:07:17 ICT 2026","broken","Sun Mar 01 13:07:17 ICT 2026","com.automation.ui.product.CreateProductTest","Surefire test","com.automation.ui.product.CreateProductTest","loginAndNavigate"
