"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","640","Login page is displayed correctly","Surefire suite","Sun Mar 01 12:49:47 ICT 2026","passed","Sun Mar 01 12:49:48 ICT 2026","com.automation.ui.LoginTest","Surefire test","com.automation.ui.LoginTest","testLoginPageDisplayed"
"","3132","Valid login with correct credentials","Surefire suite","Sun Mar 01 12:49:50 ICT 2026","passed","Sun Mar 01 12:49:53 ICT 2026","com.automation.ui.LoginTest","Surefire test","com.automation.ui.LoginTest","testValidLogin"
