"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Create a POD product with random product base","Surefire suite","Sun Mar 01 13:15:10 ICT 2026","skipped","Sun Mar 01 13:15:10 ICT 2026","com.automation.ui.product.CreateProductTest","Surefire test","com.automation.ui.product.CreateProductTest","testCreatePODProduct"
"","2","loginAndNavigate","Surefire suite","Sun Mar 01 13:15:09 ICT 2026","broken","Sun Mar 01 13:15:09 ICT 2026","com.automation.ui.product.CreateProductTest","Surefire test","com.automation.ui.product.CreateProductTest","loginAndNavigate"
